Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-19 14:30:00-05:00,390.67,391.08,389.89,390.25,7882921,0.0,0.0,0.0
2023-01-19 15:30:00-05:00,390.26,390.31,388.5,388.69,16380703,0.0,0.0,0.0
2023-01-20 09:30:00-05:00,390.1,391.05,388.38,390.95,15028597,0.0,0.0,0.0
2023-01-20 10:30:00-05:00,390.95,392.42,390.36,392.35,16680962,0.0,0.0,0.0
2023-01-20 11:30:00-05:00,392.35,392.48,391.61,392.06,7055600,0.0,0.0,0.0
2023-01-20 12:30:00-05:00,392.02,392.42,391.1,391.61,6656298,0.0,0.0,0.0
2023-01-20 13:30:00-05:00,391.62,393.97,391.62,393.85,8210847,0.0,0.0,0.0
2023-01-20 14:30:00-05:00,393.86,395.79,393.8,395.18,12391832,0.0,0.0,0.0
2023-01-20 15:30:00-05:00,395.17,396.04,394.82,395.84,14350096,0.0,0.0,0.0
2023-01-23 09:30:00-05:00,396.72,399.46,395.72,399.24,15098171,0.0,0.0,0.0
2023-01-23 10:30:00-05:00,399.23,402.11,399.08,400.86,15418562,0.0,0.0,0.0
2023-01-23 11:30:00-05:00,400.86,401.6,400.38,401.06,7001432,0.0,0.0,0.0
2023-01-23 12:30:00-05:00,401.07,402.05,400.72,401.88,6184048,0.0,0.0,0.0
2023-01-23 13:30:00-05:00,401.88,402.64,400.48,400.65,7789196,0.0,0.0,0.0
2023-01-23 14:30:00-05:00,400.66,401.07,398.72,399.82,11812091,0.0,0.0,0.0
2023-01-23 15:30:00-05:00,399.83,401.0,399.47,400.59,10765926,0.0,0.0,0.0
2023-01-24 09:30:00-05:00,398.88,400.15,397.64,399.3,14635172,0.0,0.0,0.0
2023-01-24 10:30:00-05:00,399.28,400.75,398.42,400.66,8523066,0.0,0.0,0.0
2023-01-24 11:30:00-05:00,400.67,400.7,399.22,400.31,5905414,0.0,0.0,0.0
2023-01-24 12:30:00-05:00,400.3,400.59,399.44,400.49,5069461,0.0,0.0,0.0
2023-01-24 13:30:00-05:00,400.47,401.15,399.95,400.41,6767498,0.0,0.0,0.0
2023-01-24 14:30:00-05:00,400.41,401.06,400.31,400.53,5842523,0.0,0.0,0.0
2023-01-24 15:30:00-05:00,400.55,400.65,399.29,400.16,6212721,0.0,0.0,0.0
2023-01-25 09:30:00-05:00,395.95,396.65,394.22,394.85,19581071,0.0,0.0,0.0
2023-01-25 10:30:00-05:00,394.85,396.43,393.56,396.09,11853603,0.0,0.0,0.0
2023-01-25 11:30:00-05:00,396.11,397.73,395.95,396.68,8079849,0.0,0.0,0.0
2023-01-25 12:30:00-05:00,396.68,398.89,396.66,398.76,5765805,0.0,0.0,0.0
